# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2748.2073     0.034534991
0.000      0.12566371       4364.4776      0.43876514
0.000      0.18849556       1853.4484      0.62886024
0.000      0.25132741       1524.3814       1.2259802
0.000      0.31415927       1112.5603       1.7476056
0.000      0.37699112       847.62970       2.3007519
0.000      0.43982297       714.80916       3.0810170
0.000      0.50265482       646.81118       4.1615713
0.000      0.56548668       552.12794       5.0579801
0.000      0.62831853       526.46529       6.6157579
0.000      0.69115038       474.99742       7.9447305
0.000      0.75398224       423.57384       9.1977739
0.000      0.81681409       414.40821       11.441113
0.000      0.87964594       387.29708       13.354825
0.000      0.94247780       357.98145       15.182531
0.000       1.0053096       341.74468       17.590232
0.000       1.0681415       324.56796       20.038365
0.000       1.1309734       287.70482       21.085044
0.000       1.1938052       279.72756       24.110484
0.000       1.2566371       257.81210       25.918099
0.000       1.3194689       253.66510       29.520823
0.000       1.3823008       240.16424       32.135588
0.000       1.4451326       225.60900       34.494495
0.000       1.5079645       213.11282       37.021429
0.000       1.5707963       206.31230       40.509325
0.000       1.6336282       198.91128       43.932845
0.000       1.6964600       186.25254       46.068425
0.000       1.7592919       176.09631       48.577395
0.000       1.8221237       168.89709       51.763786
0.000       1.8849556       162.30969       55.070381
0.000       1.9477874       151.95700       56.887345
0.000       2.0106193       148.53253       61.161959
0.000       2.0734512       142.91877       64.541782
0.000       2.1362830       138.04490       68.181566
0.000       2.1991149       130.22340       70.162171
0.000       2.2619467       123.70384       72.527141
0.000       2.3247786       119.07232       75.792435
0.000       2.3876104       114.06728       78.654167
0.000       2.4504423       109.84680       81.882499
0.000       2.5132741       106.11591       85.343481
0.000       2.5761060       99.631722       86.289722
0.000       2.6389378       95.620246       89.024100
0.000       2.7017697       91.983504       91.902046
0.000       2.7646015       88.535786       94.773461
0.000       2.8274334       83.882573       96.054817
0.000       2.8902652       81.645293       99.865277
0.000       2.9530971       78.375693       102.25507
0.000       3.0159289       75.356703       104.72623
0.000       3.0787608       73.419323       108.54466
0.000       3.1415927       69.704991       109.49234
0.000       3.2044245       68.710272       114.53601
0.000       3.2672564       65.709268       116.10382
0.000       3.3300882       63.174617       118.18983
0.000       3.3929201       61.849900       122.38555
0.000       3.4557519       58.805337       122.94608
0.000       3.5185838       56.616958       124.94546
0.000       3.5814156       55.277153       128.64120
0.000       3.6442475       53.474860       131.11232
0.000       3.7070793       52.187799       134.68985
0.000       3.7699112       50.491232       137.05017
0.000       3.8327430       48.900009       139.47883
0.000       3.8955749       47.531806       142.35386
0.000       3.9584067       46.678800       146.67334
0.000       4.0212386       44.866849       147.80031
0.000       4.1469023       42.884393       154.93193
0.000       4.2725660       40.458381       159.86195
0.000       4.3982297       37.957975       163.60893
0.000       4.5238934       35.515154       166.57931
0.000       4.6495571       34.283099       174.57623
0.000       4.7752208       31.893686       175.93626
0.000       4.9008845       30.625298       182.63079
0.000       5.0265482       28.951618       186.27418
0.000       5.1522120       27.703360       191.94812
0.000       5.2778757       26.544596       197.70782
0.000       5.4035394       25.394308       202.97456
0.000       5.5292031       24.194160       207.18982
0.000       5.6548668       23.040025       211.06700
0.000       5.7805305       22.152226       216.76578
0.000       5.9061942       21.180536       221.07029
0.000       6.0318579       20.306179       225.76248
0.000       6.1575216       19.199419       227.07859
0.000       6.2831853       18.609638       233.85561
0.000       6.4088490       18.025046       240.37360
0.000       6.5345127       17.389102       245.80292
0.000       6.6601764       16.991237       254.30357
0.000       6.7858401       15.965516       252.73424
0.000       6.9115038       15.477663       258.87690
0.000       7.0371675       14.942518       263.80785
0.000       7.1628313       14.495182       269.86594
0.000       7.2884950       13.956891       273.76160
0.000       7.4141587       13.427201       277.23074
0.000       7.5398224       12.915801       280.46260
0.000       7.6654861       12.476625       284.69935
0.000       7.7911498       12.195982       292.20772
0.000       7.9168135       11.690028       293.85769
0.000       8.0424772       11.374051       299.74707
0.000       8.2938046       11.039234       319.05870
0.000       8.5451320       9.9779537       315.40464
0.000       8.7964594       9.5713888       330.04179
0.000       9.0477868       9.0575403       339.86592
0.000       9.2991143       8.2442900       335.85226
0.000       9.5504417       8.0409631       354.85318
0.000       9.8017691       7.5807406       361.65568
0.000       10.053096       7.3149995       376.51659
0.000       10.304424       6.9232699       383.75378
0.000       10.555751       6.5432383       389.87954
0.000       10.807079       6.2817318       401.67481
0.000       11.058406       5.9306127       406.30057
0.000       11.309734       5.6911164       417.08527
0.000       11.561061       5.4036385       423.00901
0.000       11.812388       5.1819125       432.68664
0.000       12.063716       5.0011578       444.81980
0.000       12.315043       4.7391809       448.41628
0.000       12.566371       4.5465882       457.07290
0.000       12.817698       4.3974356       469.13718
0.000       13.069025       4.3006675       486.33523
0.000       13.320353       4.0683132       487.11536
0.000       13.571680       3.8919303       492.87430
0.000       13.823008       3.8125466       510.14433
0.000       14.074335       3.6035775       508.96484
0.000       14.325663       3.4484574       513.61686
0.000       14.576990       3.3504059       525.74028
0.000       14.828317       3.2304381       533.58952
0.000       15.079645       3.0730121       533.83601
0.000       15.330972       2.9828588       544.51775
0.000       15.582300       2.8992873       555.72017
0.000       15.833627       2.7916236       561.39476
0.000       16.084954       2.7173993       572.90581
0.000       16.587609       2.5312021       585.25950
0.000       17.090264       2.3633552       597.64813
0.000       17.592919       2.2120853       610.21914
0.000       18.095574       2.0819838       624.97790
0.000       18.598229       2.0072989       654.17966
0.000       19.100883       1.8587116       656.20967
0.000       19.603538       1.7649158       673.59312
0.000       20.106193       1.6825536       692.83324
0.000       20.608848       1.5931009       706.43901
0.000       21.111503       1.5092287       719.42041
0.000       21.614157       1.4391541       736.19438
0.000       22.116812       1.3447685       737.03036
0.000       22.619467       1.2865353       754.29126
0.000       23.122122       1.2400394       776.58467
0.000       23.624777       1.1790659       787.61045
0.000       24.127432       1.1291799       803.46447
0.000       24.630086       1.0735591       812.63218
0.000       25.132741       1.0434919       839.22595
0.000       25.635396      0.97994507       836.35775
0.000       26.138051      0.95163469       860.91470
0.000       26.640706      0.89524833       857.53322
0.000       27.143361      0.87448790       885.96162
0.000       27.646015      0.83534779       894.20114
0.000       28.148670      0.80656930       911.35083
0.000       28.651325      0.76890006       916.16624
0.000       29.153980      0.75102177       942.79296
0.000       29.656635      0.72387659       956.53395
0.000       30.159289      0.69491989       965.75801
0.000       30.661944      0.66551232       971.90862
0.000       31.164599      0.64114082       983.12406
0.000       31.667254      0.61742801       993.31685
0.000       32.169909      0.59880743       1009.9664
0.000       33.175218      0.55126544       1019.7000
0.000       34.180528      0.53534968       1083.0390
0.000       35.185838      0.49752458       1097.9650
0.000       36.191147      0.46321845       1112.4056
0.000       37.196457      0.43598911       1136.7125
0.000       38.201767      0.41840993       1181.7418
0.000       39.207076      0.38888550       1187.3681
0.000       40.212386      0.37008163       1219.1224
0.000       41.217696      0.35885952       1273.0512
0.000       42.223005      0.33566784       1280.0514
0.000       43.228315      0.31913508       1306.0197
0.000       44.233625      0.30360263       1331.1696
0.000       45.238934      0.28574671       1340.2585
0.000       46.244244      0.27424294       1373.9748
0.000       47.249554      0.26638822       1423.5686
0.000       48.254863      0.25232256       1436.3147
0.000       49.260173      0.23973526       1451.7437
0.000       50.265482      0.23158966       1490.0436
0.000       51.270792      0.22056180       1505.9503
0.000       52.276102      0.21143301       1530.2157
0.000       53.281411      0.20082956       1538.9520
0.000       54.286721      0.19543246       1583.9731
0.000       55.292031      0.18884608       1617.2079
0.000       56.297340      0.18098092       1635.9374
0.000       57.302650      0.17321424       1651.1175
0.000       58.307960      0.16657222       1672.8475
0.000       59.313269      0.16262704       1719.1692
0.000       60.318579      0.15623176       1736.9722
0.000       61.323889      0.14963331       1748.1859
0.000       62.329198      0.14723651       1806.1774
0.000       63.334508      0.14184569       1825.6083
0.000       64.339818      0.13601927       1835.3131
0.000       66.350437      0.13005851       1924.5996
0.000       68.361056      0.11868360       1920.8227
0.000       70.371675      0.11420257       2016.2289
0.000       72.382295      0.10798436       2074.5704
0.000       74.392914      0.10018760       2089.6760
0.000       76.403533     0.094573999       2136.8909
0.000       78.414153     0.091837359       2243.2259
0.000       80.424772     0.085260010       2246.9073
0.000       82.435391     0.083051783       2357.0040
0.000       84.446011     0.076882922       2345.5114
0.000       86.456630     0.073977408       2421.9450
0.000       88.467249     0.071920724       2522.7364
0.000       90.477868     0.067409318       2529.3986
0.000       92.488488     0.065645768       2631.1162
0.000       94.499107     0.062239121       2660.8281
0.000       96.509726     0.059612078       2714.6746
0.000       98.520346     0.057681643       2794.3813
0.000       100.53096     0.054251153       2792.4074
0.000       102.54158     0.052788227       2883.4167
0.000       104.55220     0.051073392       2957.0899
0.000       106.56282     0.048662561       2983.2000
0.000       108.57344     0.046932333       3043.0790
0.000       110.58406     0.045717710       3132.0763
0.000       112.59468     0.043308219       3131.8013
0.000       114.60530     0.042314021       3226.7748
0.000       116.61592     0.041112026       3303.0311
0.000       118.62654     0.039621664       3350.8003
0.000       120.63716     0.038462907       3421.0203
0.000       122.64778     0.037272565       3483.6827
0.000       124.65840     0.036109286       3543.6740
0.000       126.66902     0.034836034       3586.8247
0.000       128.67964     0.033451715       3610.9220
0.000       132.70087     0.031036756       3674.2434
0.000       136.72211     0.030007796       3885.2649
0.000       140.74335     0.028755846       4061.4403
0.000       144.76459     0.027108686       4166.4459
0.000       148.78583     0.025415290       4240.8219
0.000       152.80707     0.024314434       4395.0594
0.000       156.82831     0.023394872       4571.5584
0.000       160.84954     0.022257435       4692.5063
0.000       164.87078     0.021073875       4784.6014
0.000       168.89202     0.020153620       4918.7044
0.000       172.91326     0.019392963       5079.2469
0.000       176.93450     0.018310133       5138.0618
0.000       180.95574     0.017447651       5237.5030
0.000       184.97698     0.016643701       5336.7047
0.000       188.99821     0.016134276       5518.1416
0.000       193.01945     0.015475054       5637.7483
0.000       197.04069     0.015076788       5843.1476
0.000       201.06193     0.014579458       6003.4540
0.000       205.08317     0.013831911       6044.2509
0.000       209.10441     0.013469343       6238.8741
0.000       213.12565     0.013010108       6380.5527
0.000       217.14688     0.012453828       6460.0210
0.000       221.16812     0.012033590       6595.2773
0.000       225.18936     0.011746294       6795.3956
0.000       229.21060     0.011116536       6781.7821
0.000       233.23184     0.010973590       7053.1398
0.000       237.25308     0.010597838       7170.0651
0.000       241.27432     0.010005017       7119.0390
0.000       245.29555     0.010098890       7551.1471
0.000       249.31679    0.0095372366       7487.6823
0.000       253.33803    0.0092268221       7600.1748
0.000       257.35927    0.0089711613       7747.0859
0.000       265.40175    0.0085893721       8134.7275
0.000       273.44422    0.0084484731       8750.9409
0.000       281.48670    0.0076698345       8666.2238
0.000       289.52918    0.0071676694       8813.0299
0.000       297.57166    0.0067305027       8984.4697
0.000       305.61413    0.0065275320       9439.2952
0.000       313.65661    0.0063175656       9876.0517
0.000       321.69909    0.0057688932       9729.9867
0.000       329.74156    0.0056254007       10217.504
0.000       337.78404    0.0052867273       10322.254
0.000       345.82652    0.0049530850       10378.173
0.000       353.86900    0.0048804247       10956.086
0.000       361.91147    0.0046728944       11221.820
0.000       369.95395    0.0042825341       10985.355
0.000       377.99643    0.0041973846       11484.501
0.000       386.03891    0.0041228887       12016.143
0.000       394.08138    0.0037363813       11584.551
0.000       402.12386    0.0036135912       11903.887
0.000       410.16634    0.0033939386       11864.632
0.000       418.20881    0.0033151421       12284.344
0.000       426.25129    0.0033032296       12960.034
0.000       434.29377    0.0030487718       12651.615
0.000       442.33625    0.0030461489       13356.079
0.000       450.37872    0.0028776129       13317.915
0.000       458.42120    0.0027701453       13519.695
0.000       466.46368    0.0027350653       14063.436
0.000       474.50615    0.0026442406       14311.883
0.000       482.54863    0.0023905983       13608.183
0.000       490.59111    0.0024189077       14469.335
0.000       498.63359    0.0023328835       14652.371
0.000       506.67606    0.0022265155       14671.926
0.000       514.71854    0.0021019395       14521.113
0.125     0.062831853       2451.1678     0.030802283
0.125      0.12566371       3907.2983      0.39280446
0.125      0.18849556       1635.3175      0.55485017
0.125      0.25132741       1323.8196       1.0646789
0.125      0.31415927       963.74251       1.5138432
0.125      0.37699112       731.03671       1.9842793
0.125      0.43982297       612.35759       2.6394235
0.125      0.50265482       550.07302       3.5391598
0.125      0.56548668       465.79546       4.2670982
0.125      0.62831853       438.67094       5.5125016
0.125      0.69115038       393.15817       6.5759003
0.125      0.75398224       351.57074       7.6342490
0.125      0.81681409       342.26055       9.4492374
0.125      0.87964594       319.55726       11.019012
0.125      0.94247780       296.73693       12.585059
0.125       1.0053096       281.04642       14.465980
0.125       1.0681415       264.53854       16.332234
0.125       1.1309734       233.57470       17.118006
0.125       1.1938052       230.00318       19.824603
0.125       1.2566371       207.05326       20.815264
0.125       1.3194689       204.87711       23.843016
0.125       1.3823008       197.35142       26.406945
0.125       1.4451326       184.36776       28.188914
0.125       1.5079645       172.98848       30.051128
0.125       1.5707963       167.23058       32.835647
0.125       1.6336282       159.47255       35.222148
0.125       1.6964600       148.77053       36.797479
0.125       1.7592919       140.19467       38.673676
0.125       1.8221237       133.61173       40.949487
0.125       1.8849556       129.82756       44.049455
0.125       1.9477874       122.48448       45.853873
0.125       2.0106193       119.91273       49.377045
0.125       2.0734512       113.19729       51.119632
0.125       2.1362830       108.28064       53.480741
0.125       2.1991149       100.22683       54.000525
0.125       2.2619467       96.865305       56.791798
0.125       2.3247786       93.264736       59.365277
0.125       2.3876104       91.349253       62.989136
0.125       2.4504423       86.507216       64.484602
0.125       2.5132741       83.892673       67.470491
0.125       2.5761060       78.431197       67.928226
0.125       2.6389378       75.836757       70.605330
0.125       2.7017697       72.832112       72.767614
0.125       2.7646015       70.370574       75.328442
0.125       2.8274334       67.966354       77.828987
0.125       2.8902652       65.618707       80.262195
0.125       2.9530971       63.497307       82.843558
0.125       3.0159289       60.984984       84.753276
0.125       3.0787608       59.274640       87.632869
0.125       3.1415927       56.347364       88.510233
0.125       3.2044245       55.523696       92.554760
0.125       3.2672564       52.845703       93.374776
0.125       3.3300882       51.055657       95.517147
0.125       3.3929201       49.624349       98.194230
0.125       3.4557519       47.616354       99.552935
0.125       3.5185838       45.842472       101.16772
0.125       3.5814156       44.888492       104.46467
0.125       3.6442475       43.112148       105.70451
0.125       3.7070793       42.054899       108.53817
0.125       3.7699112       40.713040       110.50887
0.125       3.8327430       39.689384       113.20712
0.125       3.8955749       38.167748       114.30927
0.125       3.9584067       37.354736       117.37543
0.125       4.0212386       35.848562       118.09228
0.125       4.1469023       33.721283       121.82762
0.125       4.2725660       32.385667       127.96448
0.125       4.3982297       30.492383       131.43025
0.125       4.5238934       28.648944       134.37423
0.125       4.6495571       26.816558       136.55514
0.125       4.7752208       25.317851       139.66175
0.125       4.9008845       24.748063       147.58251
0.125       5.0265482       23.473559       151.02845
0.125       5.1522120       22.240823       154.09987
0.125       5.2778757       20.934271       155.92134
0.125       5.4035394       20.138645       160.96649
0.125       5.5292031       18.951440       162.29312
0.125       5.6548668       18.436821       168.89758
0.125       5.7805305       17.720893       173.40394
0.125       5.9061942       16.848204       175.85188
0.125       6.0318579       16.034817       178.27382
0.125       6.1575216       15.460381       182.85561
0.125       6.2831853       14.735475       185.17144
0.125       6.4088490       14.223402       189.67665
0.125       6.5345127       13.649524       192.94227
0.125       6.6601764       13.358362       199.93124
0.125       6.7858401       12.621447       199.79761
0.125       6.9115038       12.178830       203.70115
0.125       7.0371675       11.757474       207.57640
0.125       7.1628313       11.468876       213.52331
0.125       7.2884950       11.035199       216.45319
0.125       7.4141587       10.834678       223.70304
0.125       7.5398224       10.242085       222.40368
0.125       7.6654861       9.9823172       227.78269
0.125       7.7911498       9.6245931       230.59893
0.125       7.9168135       9.3540364       235.13677
0.125       8.0424772       9.0280242       237.92084
0.125       8.2938046       8.5320138       246.59440
0.125       8.5451320       8.0505678       254.47967
0.125       8.7964594       7.6074219       262.32004
0.125       9.0477868       7.2967657       273.79640
0.125       9.2991143       6.6989373       272.89836
0.125       9.5504417       6.4931462       286.54696
0.125       9.8017691       6.0155020       286.98258
0.125       10.053096       5.8161061       299.36576
0.125       10.304424       5.5304274       306.54914
0.125       10.555751       5.1891675       309.19709
0.125       10.807079       4.9552830       316.85726
0.125       11.058406       4.6772152       320.43151
0.125       11.309734       4.5743391       335.23993
0.125       11.561061       4.2919712       335.98519
0.125       11.812388       4.1524654       346.72841
0.125       12.063716       3.9302279       349.56769
0.125       12.315043       3.8466647       363.96733
0.125       12.566371       3.6354133       365.47160
0.125       12.817698       3.5043026       373.85395
0.125       13.069025       3.3137366       374.72947
0.125       13.320353       3.2178954       385.29145
0.125       13.571680       3.0736296       389.24464
0.125       13.823008       2.9781563       398.49730
0.125       14.074335       2.8641281       404.52592
0.125       14.325663       2.7422178       408.42879
0.125       14.576990       2.6502601       415.87453
0.125       14.828317       2.5713092       424.71751
0.125       15.079645       2.4902985       432.60845
0.125       15.330972       2.3863437       435.62454
0.125       15.582300       2.3355010       447.65658
0.125       15.833627       2.2451936       451.50782
0.125       16.084954       2.1654299       456.53481
0.125       16.587609       2.0096587       464.66928
0.125       17.090264       1.8799869       475.41339
0.125       17.592919       1.7558235       484.35616
0.125       18.095574       1.6470940       494.43101
0.125       18.598229       1.5759214       513.59353
0.125       19.100883       1.5085312       532.58006
0.125       19.603538       1.4084116       537.53068
0.125       20.106193       1.3023358       536.26912
0.125       20.608848       1.2540720       556.10126
0.125       21.111503       1.2199013       581.50359
0.125       21.614157       1.1463743       586.42387
0.125       22.116812       1.0800488       591.94486
0.125       22.619467       1.0225155       599.49735
0.125       23.122122      0.98404035       616.26319
