# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2745.5674     0.034501818
0.000      0.12566371       4365.7928      0.43889737
0.000      0.18849556       1857.7328      0.63031388
0.000      0.25132741       1530.7401       1.2310943
0.000      0.31415927       1120.4900       1.7600617
0.000      0.37699112       855.70363       2.3226672
0.000      0.43982297       725.09882       3.1253682
0.000      0.50265482       658.50582       4.2368144
0.000      0.56548668       563.98421       5.1665940
0.000      0.62831853       540.79899       6.7958805
0.000      0.69115038       490.21588       8.1992720
0.000      0.75398224       438.73544       9.5270033
0.000      0.81681409       430.57482       11.887446
0.000      0.87964594       404.82437       13.959203
0.000      0.94247780       375.07131       15.907337
0.000       1.0053096       359.46499       18.502330
0.000       1.0681415       343.20653       21.189083
0.000       1.1309734       304.68588       22.329536
0.000       1.1938052       297.47557       25.640233
0.000       1.2566371       274.93365       27.639345
0.000       1.3194689       272.51043       31.713990
0.000       1.3823008       257.90863       34.509906
0.000       1.4451326       243.11534       37.171128
0.000       1.5079645       229.74325       39.910425
0.000       1.5707963       223.22880       43.830872
0.000       1.6336282       215.77285       47.657001
0.000       1.6964600       202.57560       50.105833
0.000       1.7592919       192.02833       52.972352
0.000       1.8221237       185.31668       56.796079
0.000       1.8849556       178.94910       60.715998
0.000       1.9477874       167.64856       62.761712
0.000       2.0106193       164.72321       67.828874
0.000       2.0734512       158.92031       71.768039
0.000       2.1362830       153.73216       75.929640
0.000       2.1991149       145.34054       78.307035
0.000       2.2619467       138.70412       81.321755
0.000       2.3247786       133.87672       85.215797
0.000       2.3876104       128.85176       88.848683
0.000       2.4504423       124.38593       92.720325
0.000       2.5132741       120.61344       97.003087
0.000       2.5761060       113.87516       98.625780
0.000       2.6389378       110.06636       102.47368
0.000       2.7017697       105.88321       105.78944
0.000       2.7646015       102.50260       109.72428
0.000       2.8274334       97.152354       111.25018
0.000       2.8902652       94.968790       116.16205
0.000       2.9530971       91.478068       119.34945
0.000       3.0159289       88.140430       122.49229
0.000       3.0787608       86.306595       127.59748
0.000       3.1415927       81.967176       128.75374
